Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,"May 5, 2017",10527,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty.html
First NBC Bank,New Orleans,LA,58302,Whitney Bank,"April 28, 2017",10526,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnbc.html
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,"March 3, 2017",10525,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/proficio.html
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,"January 27, 2017",10524,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/seaway.html
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,"January 13, 2017",10523,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/harvestcomm.html
Allied Bank,Mulberry,AR,91,Today's Bank,"September 23, 2016",10522,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alliedbank.html
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,"August 19, 2016",10521,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/woodburybank.html
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,"May 6, 2016",10520,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcornerstone.html
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,"April 29, 2016",10519,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/trustco.html
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,"March 11, 2016",10518,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nmsbank.html
Hometown National Bank,Longview,WA,35156,Twin City Bank,"October 2, 2015",10517,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hometownnatl.html
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,"October 2, 2015",10516,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofgeorgia.html
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb","July 10, 2015",10515,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-co.html
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,"May 8, 2015",10514,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/edgebrook.html
"Doral Bank

En Espa̱ol
",San Juan,PR,32102,Banco Popular de Puerto Rico,"February 27, 2015",10513,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/doral.html
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,"February 13, 2015",10512,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitolcity.html
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb","January 23, 2015",10511,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/highlandcomm.html
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,"January 16, 2015",10510,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbcrestview.html
Northern Star Bank,Mankato,MN,34983,BankVista,"December 19, 2014",10509,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northernstar.html
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.","November 7, 2014",10508,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elpaseo.html
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,"October 24, 2014",10507,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nrbc.html
NBRS Financial,Rising Sun,MD,4862,Howard Bank,"October 17, 2014",10506,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nbrs.html
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC","July 25, 2014",10505,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/greenchoice.html
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,"July 18, 2014",10504,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/eastside.html
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,"June 27, 2014",10503,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedomstate.html
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association","June 20, 2014",10501,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleybankfl.html
Valley Bank,Moline,IL,10450,Great Southern Bank,"June 20, 2014",10502,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleybankil.html
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB","May 30, 2014",10500,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/slaviefederal.html
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb","May 23, 2014",10499,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbiasavings.html
"AztecAmerica Bank

En Espa̱ol
",Berwyn,IL,57866,Republic Bank of Chicago,"May 16, 2014",10498,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/aztecamerica.html
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,"April 25, 2014",10497,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allendale.html
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,"February 28, 2014",10496,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantagebank.html
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,"February 28, 2014",10495,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millenniumbank.html
Syringa Bank,Boise,ID,34296,Sunwest Bank,"January 31, 2014",10494,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/syringabank.html
The Bank of Union,El Reno,OK,17967,BancFirst,"January 24, 2014",10493,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofunion.html
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,"January 17, 2014",10492,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dupage.html
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB","December 13, 2013",10491,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/texascomm.html
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,"October 30, 2013",10490,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jacksoncty.html
"First National Bank also operating as The National Bank of El Paso

En Espa̱ol 
",Edinburg,TX,14318,PlainsCapital Bank,"September 13, 2013",10488,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatl-tx.html
The Community's Bank,Bridgeport,CT,57041,No Acquirer,"September 13, 2013",10489,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commbank-ct.html
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association","August 23, 2013",10487,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunrisebank-az.html
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.","August 23, 2013",10486,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitysouth.html
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,"August 9, 2013",10485,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofwausau.html
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,"August 2, 2013",10484,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommswb.html
Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association","June 7, 2013",10483,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mountain-tn.html
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,"June 6, 2013",10482,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stcommerce.html
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB","May 31, 2013",10478,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/kenosha.html
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,"May 14, 2013",10479,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centralaz.html
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,"May 10, 2013",10481,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunrisebank.html
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.","May 10, 2013",10480,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pisgahcommbk.html
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,"April 26, 2013",10476,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/douglascb.html
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association","April 26, 2013",10477,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkway.html
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,"April 19, 2013",10473,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/chipola.html
